Rank,FeatureClass,FeatureName,Feature,ROI0_StabilityScore,ROI0_NumberOfVoxels,ROI0_Mean,ROI0_Median,ROI0_Variance,ROI0_StandardDeviation,ROI0_CoefficientOfVariation,ROI0_MAD,ROI0_IQR,ROI0_Minimum,ROI0_Maximum,ROI0_P05,ROI0_P95
81,glcm,ClusterTendency,glcm.ClusterTendency,0.18657543173672203,318,10092.227055380854,5879.499999999999,132276228.03252979,11501.140292707058,1.139603799002423,4324.242187499999,10285.01128472222,67.25,73840.05555555555,715.3287326388889,32579.87953124999
82,ngtdm,Complexity,ngtdm.Complexity,0.18331704138155752,318,42232.25957223414,27562.98584656085,2082512769.8834634,45634.55675125445,1.0805615710237102,17791.32808641975,39565.072222222225,593.2555555555557,306518.7952380952,3873.2808333333332,124514.09495370364
83,glcm,Contrast,glcm.Contrast,0.18227435646790485,318,9590.67363731656,6237.625,135864267.08175352,11656.082836088353,1.215356009064415,3967.5770833333336,8604.427083333332,274.25,73986.95833333333,993.2218750000003,29501.999999999993
84,gldm,SmallDependenceHighGrayLevelEmphasis,gldm.SmallDependenceHighGrayLevelEmphasis,0.17777777777777778,318,67844.17408592891,48506.05555555556,3677939571.4333057,60646.01859506777,0.8939016416981622,37518.805555555555,90410.81944444444,182.0,240941.66666666666,2613.758571428572,189648.53888888884
85,glszm,SmallAreaHighGrayLevelEmphasis,glszm.SmallAreaHighGrayLevelEmphasis,0.16982730531117626,318,68226.18159971798,49435.27951388889,3716407275.829714,60962.34309661755,0.8935329761569061,38027.944444444445,91730.08333333334,182.0,240941.66666666666,2613.758571428572,191564.12222222218
86,glrlm,ShortRunHighGrayLevelEmphasis,glrlm.ShortRunHighGrayLevelEmphasis,0.16200716845878138,318,68602.67247577556,50214.16666666667,3736372532.1553736,61125.87448990299,0.8910130215624951,38849.055555555555,94028.63953993056,182.0,240941.66666666666,2613.758571428572,191564.12222222218
87,gldm,HighGrayLevelEmphasis,gldm.HighGrayLevelEmphasis,0.1583577712609971,318,68728.16943446141,50214.16666666667,3744500756.942444,61192.32596447404,0.8903529145036595,38849.055555555555,95046.95833333334,182.0,240941.66666666666,2613.758571428572,191564.12222222218
88,ngtdm,Contrast,ngtdm.Contrast,0.15751058976865429,318,19447.981379503413,6097.7625311182255,2498396976.7066073,49983.96719655821,2.5701365206590148,5114.148576817561,13693.394092966519,61.05091710512329,400768.38,402.29824226489865,66127.53336515011
89,glrlm,HighGrayLevelRunEmphasis,glrlm.HighGrayLevelRunEmphasis,0.15203649397197785,318,68727.08385338674,50214.16666666667,3747696819.896235,61218.43529441303,0.8907468768063598,38849.055555555555,94759.7109375,182.0,240941.66666666666,2613.758571428572,191564.12222222218
90,glszm,HighGrayLevelZoneEmphasis,glszm.HighGrayLevelZoneEmphasis,0.14571521668295864,318,68723.82711016272,50214.16666666667,3757837270.0281634,61301.2012119515,0.8919934146520548,38849.055555555555,94349.18055555556,182.0,240941.66666666666,2613.758571428572,191564.12222222218
91,glcm,Autocorrelation,glcm.Autocorrelation,0.1430433365917237,318,64601.10835953877,42528.08333333333,3803106582.1864986,61669.33259073345,0.9546172528110747,36335.27083333334,90851.78125,49.70833333333333,245682.66666666663,1724.1885416666667,188686.4989583332
92,glrlm,LongRunHighGrayLevelEmphasis,glrlm.LongRunHighGrayLevelEmphasis,0.14206581948517433,318,69224.72936383149,50214.16666666667,3799448815.5094576,61639.669170992944,0.8904284601392521,38849.055555555555,95174.625,182.0,240941.66666666666,2613.758571428572,191564.12222222218
93,glszm,LargeAreaHighGrayLevelEmphasis,glszm.LargeAreaHighGrayLevelEmphasis,0.11300097751710651,318,70714.4091519417,51282.25,4026834761.2184095,63457.34599885508,0.897375043642186,40116.83333333333,97155.43055555556,182.0,266544.375,2613.758571428572,198363.8222222222
94,gldm,LargeDependenceHighGrayLevelEmphasis,gldm.LargeDependenceHighGrayLevelEmphasis,0.10276963180188985,318,72264.15082859139,51282.25,4336772654.598115,65854.17719930995,0.9112980149107998,41210.0,98432.20833333334,182.0,302464.3333333333,2613.758571428572,199851.24999999994
95,firstorder,Energy,firstorder.Energy,0.09302704463994786,318,941103720.6759163,808412037.6633841,3.7606241581836544e+17,613239281.0464488,0.6516171040169836,464582401.5865265,1019747160.7590358,85477631.35368752,2477305498.9496803,180395479.67355537,2101034505.0912633
96,firstorder,TotalEnergy,firstorder.TotalEnergy,0.09302704463994786,318,941103720.6759163,808412037.6633841,3.7606241581836544e+17,613239281.0464488,0.6516171040169836,464582401.5865265,1019747160.7590358,85477631.35368752,2477305498.9496803,180395479.67355537,2101034505.0912633
97,firstorder,Variance,firstorder.Variance,0.07155425219941347,318,3518923.052175657,2265214.612364216,15389520144210.996,3922947.8895609863,1.1148149110948964,1596442.2527512095,3471207.0037822337,65578.72384256363,25406755.554004736,327943.9385232388,10802755.776274776
98,glcm,ClusterProminence,glcm.ClusterProminence,0.04248941023134571,318,482028552.1334243,91896766.33577465,1.294729737402226e+18,1137861914.9098127,2.3605695344678574,88425396.20200366,343156953.0340373,9640.25,8221914551.475622,1151159.9911096646,2226943819.972061
99,glcm,ClusterShade,glcm.ClusterShade,0.034473769957640954,318,-122577.10103169351,0.0,914070126009.3105,956070.1470129221,7.799745131561895,116028.29673032425,229516.61769386593,-9486305.93981481,2273694.179687501,-1116260.1664207177,904396.4759259227
